[main | 19:07:25] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.global.RegisterPacket
[main | 19:07:25] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.global.ShutDownPacket
[main | 19:07:25] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.server.proxy.in.SendProxyConfigPacket
[main | 19:07:25] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.server.proxy.in.StopProxyPacket
[main | 19:07:25] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.server.proxy.out.ProxyStoppingPacket
[main | 19:07:25] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.server.server.in.ExecuteCommandPacket
[main | 19:07:25] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.server.server.in.SendServerConfigPacket
[main | 19:07:25] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.server.server.in.StopServerGroupPacket
[main | 19:07:25] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.server.server.in.StopServerPacket
[main | 19:07:25] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.server.server.out.ServerStoppingPacket
[main | 19:07:25] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.wrapper.in.CopyServerPacket
[main | 19:07:25] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.wrapper.in.CreateTemplatePacket
[main | 19:07:25] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.wrapper.in.StartServerPacket
[main | 19:07:25] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.wrapper.out.DebugPacket
[main | 19:07:25] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.wrapper.out.ErrorPacket
[main | 19:07:25] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.wrapper.out.InfoPacket
[main | 19:07:25] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.wrapper.out.WarningPacket
[main | 19:07:25] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.global.UpdateMaintenancePacket
[main | 19:07:25] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.server.proxy.out.ServerGroupUpdatePacket
[main | 19:07:25] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.server.server.out.ServerUpdatePacket
[main | 19:07:25] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.global.RegisterResponsePacket
[main | 19:07:25] INFO: [34m░█████╗░██╗░░░░░░█████╗░██╗░░░██╗██████╗░[0m
[main | 19:07:25] INFO: [34m██╔══██╗██║░░░░░██╔══██╗██║░░░██║██╔══██╗[0m
[main | 19:07:25] INFO: [34m██║░░╚═╝██║░░░░░██║░░██║██║░░░██║██║░░██║[0m
[main | 19:07:25] INFO: [34m██║░░██╗██║░░░░░██║░░██║██║░░░██║██║░░██║[0m
[main | 19:07:25] INFO: [34m╚█████╔╝███████╗╚█████╔╝╚██████╔╝██████╔╝[0m
[main | 19:07:25] INFO: [34m░╚════╝░╚══════╝░╚════╝░░╚═════╝░╚═════╝░[0m
[main | 19:07:25] INFO: ▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
[main | 19:07:25] INFO: Coded by CryCodes & SpaceByter
[main | 19:07:25] INFO: 
[main | 19:07:25] INFO: Loaded Addon: CloudFlare-1.0-SNAPSHOT
[main | 19:07:25] INFO: Loaded Addon: SignSystem-1.0-SNAPSHOT
[main | 19:07:26] ERROR: An error occurred in cloudflare addon: Could not find zone id for given domain, please recheck
[main | 19:07:26] ERROR: An error occurred in cloudflare addon: Could not find zone id for given domain, please recheck
[main | 19:07:26] INFO: [SIGNSYSTEM] Starting NetworkServer on (127.0.0.1:8899)!
[main | 19:07:26] INFO: Using SignSystem for LiptonCloud!
[main | 19:07:26] INFO: Starting Master-Wrapper Server on Port: (9685) !
[main | 19:07:26] INFO: Starting Proxy-Wrapper Server on Port: (1784) !
[main | 19:07:26] INFO: Starting Master-Spigot Server on Port: (7898) !
[main | 19:07:26] INFO: Started BungeeCord Server on: 25565 !
[main | 19:07:26] INFO: Action 'MASTERSTARTUP' took: (1.19) Seconds!
[main | 19:07:28] INFO: Registered new Proxy: NONE
[main | 19:07:36] INFO: Registered new Wrapper: Wrapper-1
[main | 19:07:39] INFO: [AUTOSTART] StartetServer 'Lobby' stats: (1/2) Port: 30000 | ID: 1 !
[main | 19:07:41] INFO: [AUTOSTART] StartetServer 'Lobby' stats: (2/2) Port: 30001 | ID: 2 !
