[Cloud-Thread | 18:37:06] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.global.RegisterPacket
[Cloud-Thread | 18:37:06] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.global.ShutDownPacket
[Cloud-Thread | 18:37:06] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.server.proxy.in.SendProxyConfigPacket
[Cloud-Thread | 18:37:06] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.server.proxy.in.StopProxyPacket
[Cloud-Thread | 18:37:06] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.server.proxy.out.ProxyStoppingPacket
[Cloud-Thread | 18:37:06] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.server.server.in.ExecuteCommandPacket
[Cloud-Thread | 18:37:06] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.server.server.in.SendServerConfigPacket
[Cloud-Thread | 18:37:06] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.server.server.in.StopServerGroupPacket
[Cloud-Thread | 18:37:06] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.server.server.in.StopServerPacket
[Cloud-Thread | 18:37:06] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.server.server.out.ServerStoppingPacket
[Cloud-Thread | 18:37:06] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.wrapper.in.CopyServerPacket
[Cloud-Thread | 18:37:06] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.wrapper.in.CreateTemplatePacket
[Cloud-Thread | 18:37:06] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.wrapper.in.StartServerPacket
[Cloud-Thread | 18:37:06] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.wrapper.out.DebugPacket
[Cloud-Thread | 18:37:06] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.wrapper.out.ErrorPacket
[Cloud-Thread | 18:37:06] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.wrapper.out.InfoPacket
[Cloud-Thread | 18:37:06] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.wrapper.out.WarningPacket
[Cloud-Thread | 18:37:06] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.global.UpdateMaintenancePacket
[Cloud-Thread | 18:37:06] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.server.proxy.out.ServerGroupUpdatePacket
[Cloud-Thread | 18:37:06] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.server.server.out.ServerUpdatePacket
[Cloud-Thread | 18:37:06] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.global.RegisterResponsePacket
[Cloud-Thread | 18:37:06] INFO: [31m.____    .__        __                _________ .__                   .___
[Cloud-Thread | 18:37:06] INFO: [31m|    |   |__|______/  |_  ____   ____ \_   ___ \|  |   ____  __ __  __| _/
[Cloud-Thread | 18:37:06] INFO: [31m|    |   |  \____ \   __\/  _ \ /    \/    \  \/|  |  /  _ \|  |  \/ __ | 
[Cloud-Thread | 18:37:06] INFO: [31m|    |___|  |  |_> >  | (  <_> )   |  \     \___|  |_(  <_> )  |  / /_/ | 
[Cloud-Thread | 18:37:06] INFO: [31m|_______ \__|   __/|__|  \____/|___|  /\______  /____/\____/|____/\____ | 
[Cloud-Thread | 18:37:06] INFO: [31m        \/  |__|                    \/        \/                       \/ 
[Cloud-Thread | 18:37:06] INFO: Coded by CryCodes & SpaceByter
[Cloud-Thread | 18:37:06] INFO: 
[Cloud-Thread | 18:37:06] INFO: Starting Master-Wrapper Server on Port: (9685) !
[Cloud-Thread | 18:37:06] INFO: Starting Proxy-Wrapper Server on Port: (1784) !
[Cloud-Thread | 18:37:06] INFO: Starting Master-Spigot Server on Port: (7898) !
[Cloud-Thread | 18:37:06] INFO: Started BungeeCord Server on: 25565 !
[Cloud-Thread | 18:37:06] INFO: Action 'MASTERSTARTUP' took: (0.2) Seconds!
[Cloud-Thread | 18:37:07] INFO: Registered new Proxy: MainProxy
[Cloud-Thread | 18:37:24] INFO: Help Command:
[Cloud-Thread | 18:37:24] INFO: copy <group> <server>
[Cloud-Thread | 18:37:24] INFO: create <SERVERGROUP>
[Cloud-Thread | 18:37:24] INFO: create <WRAPPER>
[Cloud-Thread | 18:37:24] INFO: execute <server> <command>
[Cloud-Thread | 18:37:24] INFO: maintenance <add> <user>
[Cloud-Thread | 18:37:24] INFO: maintenance <remove> <user>
[Cloud-Thread | 18:37:24] INFO: maintenance <toggle>
[Cloud-Thread | 18:37:24] INFO: perms <check> <user>
[Cloud-Thread | 18:37:24] INFO: perms <set> <user>
[Cloud-Thread | 18:37:24] INFO: perms <remove> <user>
[Cloud-Thread | 18:37:24] INFO: perms <help>
[Cloud-Thread | 18:37:24] INFO: service <stopserver> <name>
[Cloud-Thread | 18:37:24] INFO: service <stopproxy> <name>
[Cloud-Thread | 18:37:24] INFO: service <stopgroup> <group>
[Cloud-Thread | 18:37:24] INFO: reload
[Cloud-Thread | 18:37:24] INFO: stop
